,x_l,x_m,x_r,w_l,w_m,w_r,xw_l,xw_m,xw_r,m_l,m_m,m_r,y_l,y_m,y_r
1008,0.3806748466257668,0.3815950920245398,0.3825153374233128,4,5,6,1.5226993865030671,1.907975460122699,2.2950920245398767,0.7281425666786266,0.7409002112984888,0.753657855918351,0.0588235294117647,0.0588235294117647,0.0588235294117647
1009,0.34357745398772993,0.3834355828220858,0.42329371165644164,2,3,4,0.6871549079754599,1.1503067484662575,1.6931748466257666,0.7546977368470014,0.7664155005382132,0.778133264229425,0.0294117647058823,0.0294117647058823,0.0294117647058823
1010,0.45034092424646566,0.4631518404907975,0.47596275673512933,2,3,4,0.9006818484929313,1.3894555214723925,1.9038510269405173,0.7335363982881185,0.7429799731557896,0.7524235480234607,0.0294117647058823,0.0294117647058823,0.0294117647058823
1011,0.4184582555348092,0.4375300080021338,0.45660176046945844,4,5,6,1.6738330221392368,2.187650040010669,2.7396105628167504,0.6691731278243189,0.7618671228911318,0.8545611179579446,0.088235294117647,0.088235294117647,0.088235294117647
1012,0.3701920512136569,0.3993865030674846,0.42858095492131226,2,3,4,0.7403841024273138,1.1981595092024537,1.714323819685249,0.8495100613788309,0.9472551130247576,1.0450001646706844,0.0,0.0,0.0
1013,0.285836222992798,0.3409975993598292,0.39615897572686043,2,3,4,0.571672445985596,1.0229927980794877,1.5846359029074417,0.7483093809711179,0.751765009732904,0.7552206384946902,0.088235294117647,0.088235294117647,0.088235294117647
1014,0.20061349693251523,0.2306748466257668,0.26073619631901834,1,2,3,0.20061349693251523,0.4613496932515336,0.782208588957055,0.7064844715544393,0.7448537522093317,0.7832230328642241,0.1176470588235294,0.1176470588235294,0.1176470588235294
1015,0.16305681515070675,0.1705521472392637,0.17804747932782067,1,2,3,0.16305681515070675,0.3411042944785274,0.5341424379834621,0.760445754876419,0.8215923135191165,0.8827388721618141,0.1176470588235294,0.1176470588235294,0.1176470588235294
1016,0.18522939450520132,0.1855428114163776,0.18585622832755389,1,2,3,0.18522939450520132,0.3710856228327552,0.5575686849826617,0.5974633781064257,0.6992991962337214,0.8011350143610171,0.0588235294117647,0.0588235294117647,0.0588235294117647
1017,0.11449053080821545,0.184915977594025,0.25534142437983454,6,7,8,0.6869431848492926,1.294411843158175,2.0427313950386763,0.8814180399335076,0.9029708324883128,0.9245236250431179,0.0294117647058823,0.0294117647058823,0.0294117647058823
1018,0.29877300613496927,0.3257668711656441,0.352760736196319,2,3,4,0.5975460122699385,0.9773006134969324,1.411042944785276,0.8541243072997645,0.8598652473787025,0.8656061874576405,0.0294117647058823,0.0294117647058823,0.0294117647058823
1019,0.37369631901840483,0.3797546012269938,0.38581288343558273,5,6,7,1.8684815950920242,2.278527607361963,2.700690184049079,0.8127848875068108,0.8713471275365785,0.9299093675663462,0.0294117647058823,0.0294117647058823,0.0294117647058823
1020,0.34272835719154726,0.3676380368098159,0.3925477164280845,4,5,6,1.370913428766189,1.8381901840490795,2.3552862985685072,0.6492389710605236,0.754222647477043,0.8592063238935624,0.0294117647058823,0.0294117647058823,0.0294117647058823
1021,0.30488326516700737,0.3178186775732787,0.33075408997955,3,4,5,0.9146497955010221,1.2712747102931148,1.6537704498977501,0.447703623968425,0.5442552946440042,0.6408069653195835,0.0294117647058823,0.0294117647058823,0.0294117647058823
1022,0.2862410531697341,0.2919478527607361,0.2976546523517381,2,3,4,0.5724821063394682,0.8758435582822083,1.1906186094069524,0.7133118048080374,0.7373586359951627,0.7614054671822881,0.088235294117647,0.088235294117647,0.088235294117647
1023,0.25607745398773,0.2805342535787321,0.3049910531697341,2,3,4,0.51215490797546,0.8416027607361962,1.2199642126789365,0.7256010046645138,0.7854522983694134,0.845303592074313,0.0294117647058823,0.0294117647058823,0.0294117647058823
1024,0.3151640437449986,0.3294478527607362,0.34373166177647374,5,6,7,1.575820218724993,1.976687116564417,2.4061216324353163,0.8716383346420318,0.9051548857792128,0.9386714369163938,0.0,0.0,0.0
1025,0.27771350137814516,0.300880234729261,0.32404696808037686,2,3,4,0.5554270027562903,0.9026407041877831,1.2961878723215075,0.8085554509752259,0.8381217835048507,0.8676881160344755,0.0,0.0,0.0
1026,0.341859495865564,0.3472137014314927,0.3525679069974214,5,6,7,1.7092974793278202,2.0832822085889564,2.46797534898195,0.7855677122966244,0.8972544485641003,1.0089411848315764,0.0294117647058823,0.0294117647058823,0.0294117647058823
1027,0.32282608695652165,0.3579221125633501,0.39301813817017855,5,6,7,1.6141304347826082,2.1475326753801007,2.75112696719125,0.6509380162209292,0.6738809760291484,0.6968239358373677,0.0294117647058823,0.0294117647058823,0.0294117647058823
1028,0.2653374233128834,0.2877300613496932,0.310122699386503,4,5,6,1.0613496932515336,1.438650306748466,1.860736196319018,0.5980145915560341,0.6279950564127099,0.6579755212693857,0.1176470588235294,0.1176470588235294,0.1176470588235294
1029,0.20081355028007472,0.2429447852760736,0.28507602027207246,3,4,5,0.6024406508402241,0.9717791411042944,1.4253801013603624,0.5817520614169653,0.6879559861260616,0.7941599108351578,0.0588235294117647,0.0588235294117647,0.0588235294117647
1030,0.3119068115133732,0.3272072552680714,0.34250769902276956,5,6,7,1.559534057566866,1.9632435316084282,2.3975538931593867,0.8700352773456158,0.900363835544254,0.9306923937428923,0.0588235294117647,0.0588235294117647,0.0588235294117647
1031,0.3297456156658609,0.3578081427774678,0.3858706698890747,2,3,4,0.6594912313317218,1.0734244283324035,1.5434826795562988,0.8341989443532323,0.8397067191469776,0.8452144939407229,0.0,0.0,0.0
1032,0.3752714798020212,0.4139331970006816,0.452594914199342,2,3,4,0.7505429596040424,1.2417995910020447,1.810379656797368,0.7883715918223959,0.8507222687344682,0.9130729456465405,0.0588235294117647,0.0588235294117647,0.0588235294117647
1033,0.32996132301947173,0.3366097626033608,0.34325820218724984,3,4,5,0.9898839690584151,1.3464390504134431,1.7162910109362493,0.7061425632118754,0.7260209149103236,0.7458992666087718,0.0588235294117647,0.0588235294117647,0.0588235294117647
1034,0.3219925313416909,0.3233128834355827,0.32463323552947443,2,3,4,0.6439850626833818,0.969938650306748,1.2985329421178977,0.7424775831196948,0.76577761830722,0.7890776534947452,0.0588235294117647,0.0588235294117647,0.0588235294117647
1035,0.2978374788832577,0.3259535876233662,0.3540696963634747,2,3,4,0.5956749577665154,0.9778607628700986,1.4162787854538987,0.6658970478879686,0.7191775479321696,0.7724580479763706,0.0294117647058823,0.0294117647058823,0.0294117647058823
1036,0.21196124522094772,0.2697213701431492,0.3274814950653506,5,6,7,1.0598062261047385,1.6183282208588952,2.2923704654574544,0.7665923048522383,0.8257385480205717,0.8848847911889051,0.0588235294117647,0.0588235294117647,0.0588235294117647
1037,0.1320085356094958,0.1542011202987463,0.1763937049879968,6,7,8,0.7920512136569748,1.079407842091224,1.4111496399039745,0.8738813227042741,0.9440310343572385,1.0141807460102028,0.1176470588235294,0.1176470588235294,0.1176470588235294
1038,0.0975041829336307,0.1098159509202453,0.12212771890685992,1,2,3,0.0975041829336307,0.2196319018404906,0.36638315672057975,0.7471086900580981,0.8037316110513097,0.8603545320445214,0.1764705882352941,0.1764705882352941,0.1764705882352941
1039,0.08404559397657549,0.0851924149470161,0.08633923591745671,3,4,5,0.25213678192972644,0.3407696597880644,0.43169617958728357,0.6815711232647007,0.6904857690648865,0.6994004148650722,0.1470588235294117,0.1470588235294117,0.1470588235294117
1040,0.06930075292805343,0.0828987730061349,0.09649679308421635,1,2,3,0.06930075292805343,0.1657975460122698,0.2894903792526491,0.6753251930862264,0.708315060665258,0.7413049282442895,0.1764705882352941,0.1764705882352941,0.1764705882352941
1041,0.1019032348020078,0.1100948131622978,0.1182863915225878,6,7,8,0.6114194088120468,0.7706636921360845,0.9462911321807024,0.7712286119175247,0.7742947958233211,0.7773609797291174,0.0294117647058823,0.0294117647058823,0.0294117647058823
1042,0.11282533928239444,0.1264779698828778,0.14013060048336115,4,5,6,0.45130135712957775,0.6323898494143889,0.840783602900167,0.750866879535699,0.7681624280117283,0.7854579764877576,0.0588235294117647,0.0588235294117647,0.0588235294117647
1043,0.14542544678580946,0.1537832310838445,0.16214101538187956,4,5,6,0.5817017871432378,0.7689161554192225,0.9728460922912774,0.7218497197998297,0.8027535249637869,0.8836573301277442,0.0588235294117647,0.0588235294117647,0.0588235294117647
